V,A,D
6.26,2.41,4.27
5.3,2.65,4.95
2.84,3.73,3.32
2.63,4.95,2.64
5.85,2.2,5.0
5.43,3.68,5.15
4.48,3.5,5.32
2.42,5.9,2.75
2.05,5.33,3.02
5.52,3.26,5.33
5.57,3.59,6.6
7.0,4.85,6.55
4.0,3.94,4.35
5.15,6.75,4.58
6.64,3.38,6.17
3.53,4.48,4.7
3.05,5.0,3.96
5.28,2.9,5.05
3.84,4.18,4.65
4.05,5.45,4.62
2.5,5.9,3.8
3.1,5.8,3.38
2.58,5.43,4.73
5.11,5.27,4.96
4.26,6.1,4.94
4.62,4.61,5.19
3.28,5.23,3.75
2.79,4.0,3.95
3.86,4.3,4.24
4.1,3.72,4.21
3.53,3.7,3.95
5.43,3.48,5.58
6.58,3.38,5.75
4.58,3.53,4.82
5.5,4.27,5.62
4.4,3.1,6.08
3.43,3.15,5.64
5.25,3.96,5.53
4.45,4.02,5.06
4.06,4.7,5.37
6.67,4.72,5.66
7.55,4.21,5.81
1.53,6.21,2.9
2.05,5.27,3.58
3.45,3.91,3.76
3.9,4.85,4.0
6.61,3.32,6.21
5.32,3.77,5.38
4.59,4.81,6.04
6.1,6.04,6.15
6.21,4.75,6.29
6.19,6.73,5.76
5.63,5.0,6.65
6.48,4.95,5.36
6.39,2.8,5.94
6.59,3.65,6.58
6.84,4.3,6.49
6.68,5.3,6.89
6.68,3.2,6.58
5.35,4.22,5.83
2.55,4.93,3.0
3.46,4.0,3.41
6.1,3.95,5.77
6.35,3.0,6.27
6.76,4.72,6.0
5.47,3.85,5.63
4.6,4.5,5.2
7.45,5.16,7.27
8.05,4.96,6.5
6.38,2.85,5.64
5.26,2.94,5.21
5.39,3.76,5.06
4.89,3.7,6.55
5.7,4.2,5.57
5.19,3.81,5.72
4.42,3.68,4.48
6.33,2.73,6.15
6.32,3.33,6.74
7.42,4.35,6.47
3.21,5.33,4.13
3.38,5.48,3.62
2.68,5.32,4.0
6.37,4.64,6.61
4.11,3.67,4.7
3.27,4.3,4.0
7.75,4.7,6.61
7.28,5.57,7.17
3.15,4.48,4.62
3.26,4.77,4.26
6.43,3.26,6.11
6.53,3.3,6.71
2.18,4.47,3.44
5.85,4.42,4.77
7.1,4.0,5.79
6.33,3.19,5.86
5.58,3.24,5.29
5.5,4.86,7.0
5.0,4.36,5.93
5.6,4.56,5.45
6.19,4.95,5.03
5.53,2.73,4.94
5.25,3.74,5.52
6.0,4.9,5.42
5.52,3.73,5.42
5.64,4.19,6.11
6.0,6.19,6.17
6.18,4.65,6.71
5.7,3.78,6.28
6.14,3.52,6.88
6.47,5.62,6.32
6.24,5.26,5.86
6.21,4.86,6.45
6.15,4.35,5.64
5.42,5.43,4.65
6.22,2.75,5.54
5.4,5.55,5.24
4.81,4.9,4.77
5.1,5.09,5.11
4.11,3.33,5.18
5.55,3.38,5.13
5.45,5.74,6.38
5.84,3.9,5.75
5.82,3.55,6.04
6.23,4.0,6.79
4.45,3.24,4.41
2.86,5.33,2.74
2.89,4.77,2.84
3.52,4.48,3.84
3.52,4.82,4.4
6.15,3.61,4.95
6.11,3.05,4.89
6.14,4.17,6.5
4.7,3.64,6.89
5.17,3.52,3.9
5.84,3.2,4.88
5.77,4.18,6.3
5.15,2.78,4.27
5.95,3.64,6.11
5.06,3.52,4.65
5.5,3.15,5.75
5.76,3.0,6.0
4.25,3.5,5.84
5.53,4.59,4.53
4.37,3.64,5.83
4.4,3.86,6.33
4.45,3.23,4.77
4.79,3.21,5.9
5.32,4.74,5.48
7.0,4.57,5.81
4.8,4.05,5.68
6.16,4.27,6.08
7.58,5.52,6.11
7.35,5.0,7.33
7.25,5.95,6.94
7.05,6.0,6.27
5.16,2.9,6.21
5.91,3.69,5.54
5.56,3.35,4.56
6.29,3.6,5.96
4.82,3.33,4.48
5.25,3.89,5.55
6.0,5.1,4.44
5.38,4.2,4.0
6.9,4.71,5.45
6.68,4.82,5.62
5.67,4.4,5.59
7.4,4.66,6.83
6.47,4.36,6.54
7.37,5.96,6.26
7.38,4.86,6.29
6.33,5.05,4.85
6.61,5.95,5.72
4.36,3.19,4.09
5.9,4.36,6.46
2.77,5.68,3.2
2.81,6.42,3.33
5.05,4.28,6.11
6.11,4.62,6.12
6.14,3.83,6.96
7.47,5.81,6.38
6.71,3.95,7.19
6.79,5.7,6.22
7.4,6.36,6.36
7.0,5.27,5.83
7.37,6.67,5.71
4.55,4.41,5.0
3.68,3.89,3.35
4.26,3.82,4.63
5.16,4.29,5.74
4.3,4.14,5.84
4.68,3.25,5.0
5.78,3.05,5.83
5.62,4.36,5.86
5.44,3.38,6.41
4.55,4.04,5.92
5.68,3.36,6.18
4.74,3.19,5.7
4.95,4.05,4.19
5.25,4.59,7.26
6.04,3.67,5.17
6.0,5.1,5.7
6.16,4.33,5.1
5.79,4.52,5.17
5.43,2.88,5.5
3.1,5.4,5.89
5.65,3.61,6.39
7.89,5.64,6.6
7.23,4.77,6.9
4.38,3.73,4.04
5.32,3.9,5.3
5.86,4.29,6.55
5.95,3.95,6.53
5.94,3.64,6.78
3.76,5.1,4.17
6.56,4.33,6.44
7.52,4.11,6.16
4.53,4.5,5.04
6.05,5.41,4.38
5.57,4.13,4.96
5.21,3.5,4.96
2.25,5.12,2.71
6.42,4.11,5.8
5.53,4.32,5.86
4.29,5.38,4.23
6.68,3.48,5.71
5.55,3.5,5.81
5.78,3.71,4.67
5.14,3.17,4.89
5.05,3.62,5.36
5.23,3.43,5.65
2.55,5.9,4.85
2.48,5.35,4.45
3.18,5.69,4.65
3.08,5.87,5.49
3.58,6.43,5.21
2.8,6.55,4.57
5.95,4.95,6.09
6.55,4.21,6.41
3.0,3.8,3.06
3.36,5.82,4.55
2.84,4.75,3.29
5.84,4.83,5.59
2.68,6.71,4.04
2.46,5.78,4.0
7.17,3.62,6.94
6.9,3.55,6.97
6.75,4.05,6.48
5.5,3.55,5.74
6.1,3.05,6.0
5.58,3.95,5.45
6.29,4.55,5.95
5.6,4.0,7.05
3.52,3.75,4.88
1.33,5.0,3.55
2.95,4.52,4.15
3.0,3.68,3.14
5.95,4.0,6.5
6.71,3.25,5.72
5.4,3.64,4.81
5.25,3.52,4.48
6.3,4.86,5.71
5.25,4.64,5.85
5.74,4.38,4.82
4.1,4.3,4.19
5.36,4.12,4.92
6.05,4.0,4.25
4.85,4.23,5.0
5.25,5.62,4.12
6.0,5.5,5.79
5.63,4.88,4.43
5.5,4.4,4.91
4.95,4.33,5.24
4.76,3.83,5.1
5.1,3.3,4.76
4.95,4.0,3.95
5.17,2.5,4.87
5.0,3.26,5.28
4.63,3.39,4.4
5.5,3.95,5.35
3.86,6.85,6.58
3.47,5.36,4.82
3.52,6.5,4.05
5.68,3.09,4.91
4.9,3.09,4.05
6.19,5.63,5.86
4.11,5.17,4.0
2.49,5.48,3.27
2.0,5.0,3.0
5.5,3.32,5.33
4.44,3.05,5.04
5.95,4.1,5.17
5.38,5.14,6.58
4.79,3.67,5.73
5.4,4.6,4.54
5.3,3.7,4.04
5.0,4.71,5.94
4.16,4.5,5.17
4.45,4.86,3.56
2.79,4.27,3.71
2.53,5.14,3.33
5.67,3.86,5.88
5.95,3.32,5.95
6.0,3.92,6.32
3.86,3.09,4.32
6.57,5.93,6.77
3.26,5.9,3.96
3.62,5.09,4.27
5.8,5.17,7.05
5.0,3.89,5.36
3.0,5.4,3.81
2.9,3.9,3.5
6.25,3.45,5.84
4.17,4.08,4.63
3.46,3.7,5.2
6.14,4.4,5.78
5.95,3.38,5.4
4.23,5.36,4.1
6.39,2.95,6.11
6.74,4.05,5.7
