Word,V,A,D
aardvark,6.26,2.41,4.27
abalone,5.3,2.65,4.95
abandon,2.84,3.73,3.32
abandonment,2.63,4.95,2.64
abbey,5.85,2.2,5.0
abdomen,5.43,3.68,5.15
abdominal,4.48,3.5,5.32
abduct,2.42,5.9,2.75
abduction,2.05,5.33,3.02
abide,5.52,3.26,5.33
abiding,5.57,3.59,6.6
ability,7.0,4.85,6.55
abject,4.0,3.94,4.35
ablaze,5.15,6.75,4.58
able,6.64,3.38,6.17
abnormal,3.53,4.48,4.7
abnormality,3.05,5.0,3.96
abode,5.28,2.9,5.05
abolish,3.84,4.18,4.65
abominable,4.05,5.45,4.62
abomination,2.5,5.9,3.8
abort,3.1,5.8,3.38
abortion,2.58,5.43,4.73
abracadabra,5.11,5.27,4.96
abrasive,4.26,6.1,4.94
abreast,4.62,4.61,5.19
abrupt,3.28,5.23,3.75
abscess,2.79,4.0,3.95
absence,3.86,4.3,4.24
absent,4.1,3.72,4.21
absinthe,3.53,3.7,3.95
absolute,5.43,3.48,5.58
absolution,6.58,3.38,5.75
absolve,4.58,3.53,4.82
absorb,5.5,4.27,5.62
abstain,4.4,3.1,6.08
abstinence,3.43,3.15,5.64
abstract,5.25,3.96,5.53
absurd,4.45,4.02,5.06
absurdity,4.06,4.7,5.37
abundance,6.67,4.72,5.66
abundant,7.55,4.21,5.81
abuse,1.53,6.21,2.9
abusive,2.05,5.27,3.58
abysmal,3.45,3.91,3.76
abyss,3.9,4.85,4.0
academic,6.61,3.32,6.21
academy,5.32,3.77,5.38
accelerant,4.59,4.81,6.04
accelerate,6.1,6.04,6.15
accelerated,6.21,4.75,6.29
acceleration,6.19,6.73,5.76
accelerator,5.63,5.0,6.65
accent,6.48,4.95,5.36
accept,6.39,2.8,5.94
acceptable,6.59,3.65,6.58
acceptance,6.84,4.3,6.49
access,6.68,5.3,6.89
accessible,6.68,3.2,6.58
accessory,5.35,4.22,5.83
accident,2.55,4.93,3.0
accidental,3.46,4.0,3.41
acclaim,6.1,3.95,5.77
accommodate,6.35,3.0,6.27
accommodation,6.76,4.72,6.0
accompany,5.47,3.85,5.63
accomplice,4.6,4.5,5.2
accomplish,7.45,5.16,7.27
accomplishment,8.05,4.96,6.5
accord,6.38,2.85,5.64
accordion,5.26,2.94,5.21
account,5.39,3.76,5.06
accountability,4.89,3.7,6.55
accountable,5.7,4.2,5.57
accountant,5.19,3.81,5.72
accounting,4.42,3.68,4.48
accumulate,6.33,2.73,6.15
accuracy,6.32,3.33,6.74
accurate,7.42,4.35,6.47
accursed,3.21,5.33,4.13
accusation,3.38,5.48,3.62
accuse,2.68,5.32,4.0
ace,6.37,4.64,6.61
acetylene,4.11,3.67,4.7
ache,3.27,4.3,4.0
achieve,7.75,4.7,6.61
achievement,7.28,5.57,7.17
achy,3.15,4.48,4.62
acid,3.26,4.77,4.26
acknowledge,6.43,3.26,6.11
acknowledgement,6.53,3.3,6.71
acne,2.18,4.47,3.44
acorn,5.85,4.42,4.77
acoustic,7.1,4.0,5.79
acoustics,6.33,3.19,5.86
acquaintance,5.58,3.24,5.29
acquire,5.5,4.86,7.0
acquisition,5.0,4.36,5.93
acquit,5.6,4.56,5.45
acquittal,6.19,4.95,5.03
acre,5.53,2.73,4.94
acreage,5.25,3.74,5.52
acrobat,6.0,4.9,5.42
acrylic,5.52,3.73,5.42
act,5.64,4.19,6.11
action,6.0,6.19,6.17
action figure,6.18,4.65,6.71
activate,5.7,3.78,6.28
activation,6.14,3.52,6.88
active,6.47,5.62,6.32
activist,6.24,5.26,5.86
activity,6.21,4.86,6.45
actor,6.15,4.35,5.64
actress,5.42,5.43,4.65
actual,6.22,2.75,5.54
actuality,5.4,5.55,5.24
acupuncture,4.81,4.9,4.77
acute,5.1,5.09,5.11
ad,4.11,3.33,5.18
adage,5.55,3.38,5.13
adamant,5.45,5.74,6.38
adapt,5.84,3.9,5.75
adaptation,5.82,3.55,6.04
add,6.23,4.0,6.79
adder,4.45,3.24,4.41
addict,2.86,5.33,2.74
addicted,2.89,4.77,2.84
addiction,3.52,4.48,3.84
addictive,3.52,4.82,4.4
additional,6.15,3.61,4.95
address,6.11,3.05,4.89
adept,6.14,4.17,6.5
adequate,4.7,3.64,6.89
adhere,5.17,3.52,3.9
adhesive,5.84,3.2,4.88
Adidas,5.77,4.18,6.3
adjacent,5.15,2.78,4.27
adjective,5.95,3.64,6.11
adjoining,5.06,3.52,4.65
adjourn,5.5,3.15,5.75
adjust,5.76,3.0,6.0
adjuster,4.25,3.5,5.84
adjustment,5.53,4.59,4.53
admin,4.37,3.64,5.83
administer,4.4,3.86,6.33
administration,4.45,3.23,4.77
administrative,4.79,3.21,5.9
administrator,5.32,4.74,5.48
admirable,7.0,4.57,5.81
admiral,4.8,4.05,5.68
admiralty,6.16,4.27,6.08
admiration,7.58,5.52,6.11
admire,7.35,5.0,7.33
admired,7.25,5.95,6.94
admirer,7.05,6.0,6.27
admissible,5.16,2.9,6.21
admission,5.91,3.69,5.54
admit,5.56,3.35,4.56
admittance,6.29,3.6,5.96
ado,4.82,3.33,4.48
adobe,5.25,3.89,5.55
adolescence,6.0,5.1,4.44
