,Word,V,A,D
0,aardvark,6.26,2.41,4.27
1,abalone,5.3,2.65,4.95
2,abandon,2.84,3.73,3.32
3,abandonment,2.63,4.95,2.64
4,abbey,5.85,2.2,5.0
5,abdomen,5.43,3.68,5.15
6,abdominal,4.48,3.5,5.32
7,abduct,2.42,5.9,2.75
8,abduction,2.05,5.33,3.02
9,abide,5.52,3.26,5.33
10,abiding,5.57,3.59,6.6
11,ability,7.0,4.85,6.55
12,abject,4.0,3.94,4.35
13,ablaze,5.15,6.75,4.58
14,able,6.64,3.38,6.17
15,abnormal,3.53,4.48,4.7
16,abnormality,3.05,5.0,3.96
17,abode,5.28,2.9,5.05
18,abolish,3.84,4.18,4.65
19,abominable,4.05,5.45,4.62
20,abomination,2.5,5.9,3.8
21,abort,3.1,5.8,3.38
22,abortion,2.58,5.43,4.73
23,abracadabra,5.11,5.27,4.96
24,abrasive,4.26,6.1,4.94
25,abreast,4.62,4.61,5.19
26,abrupt,3.28,5.23,3.75
27,abscess,2.79,4.0,3.95
28,absence,3.86,4.3,4.24
29,absent,4.1,3.72,4.21
30,absinthe,3.53,3.7,3.95
31,absolute,5.43,3.48,5.58
32,absolution,6.58,3.38,5.75
33,absolve,4.58,3.53,4.82
34,absorb,5.5,4.27,5.62
35,abstain,4.4,3.1,6.08
36,abstinence,3.43,3.15,5.64
37,abstract,5.25,3.96,5.53
38,absurd,4.45,4.02,5.06
39,absurdity,4.06,4.7,5.37
40,abundance,6.67,4.72,5.66
41,abundant,7.55,4.21,5.81
42,abuse,1.53,6.21,2.9
43,abusive,2.05,5.27,3.58
44,abysmal,3.45,3.91,3.76
45,abyss,3.9,4.85,4.0
46,academic,6.61,3.32,6.21
47,academy,5.32,3.77,5.38
48,accelerant,4.59,4.81,6.04
49,accelerate,6.1,6.04,6.15
50,accelerated,6.21,4.75,6.29
51,acceleration,6.19,6.73,5.76
52,accelerator,5.63,5.0,6.65
53,accent,6.48,4.95,5.36
54,accept,6.39,2.8,5.94
55,acceptable,6.59,3.65,6.58
56,acceptance,6.84,4.3,6.49
57,access,6.68,5.3,6.89
58,accessible,6.68,3.2,6.58
59,accessory,5.35,4.22,5.83
60,accident,2.55,4.93,3.0
61,accidental,3.46,4.0,3.41
62,acclaim,6.1,3.95,5.77
63,accommodate,6.35,3.0,6.27
64,accommodation,6.76,4.72,6.0
65,accompany,5.47,3.85,5.63
66,accomplice,4.6,4.5,5.2
67,accomplish,7.45,5.16,7.27
68,accomplishment,8.05,4.96,6.5
69,accord,6.38,2.85,5.64
70,accordion,5.26,2.94,5.21
71,account,5.39,3.76,5.06
72,accountability,4.89,3.7,6.55
73,accountable,5.7,4.2,5.57
74,accountant,5.19,3.81,5.72
75,accounting,4.42,3.68,4.48
76,accumulate,6.33,2.73,6.15
77,accuracy,6.32,3.33,6.74
78,accurate,7.42,4.35,6.47
79,accursed,3.21,5.33,4.13
80,accusation,3.38,5.48,3.62
81,accuse,2.68,5.32,4.0
82,ace,6.37,4.64,6.61
83,acetylene,4.11,3.67,4.7
84,ache,3.27,4.3,4.0
85,achieve,7.75,4.7,6.61
86,achievement,7.28,5.57,7.17
87,achy,3.15,4.48,4.62
88,acid,3.26,4.77,4.26
89,acknowledge,6.43,3.26,6.11
90,acknowledgement,6.53,3.3,6.71
91,acne,2.18,4.47,3.44
92,acorn,5.85,4.42,4.77
93,acoustic,7.1,4.0,5.79
94,acoustics,6.33,3.19,5.86
95,acquaintance,5.58,3.24,5.29
96,acquire,5.5,4.86,7.0
97,acquisition,5.0,4.36,5.93
98,acquit,5.6,4.56,5.45
99,acquittal,6.19,4.95,5.03
100,acre,5.53,2.73,4.94
101,acreage,5.25,3.74,5.52
102,acrobat,6.0,4.9,5.42
103,acrylic,5.52,3.73,5.42
104,act,5.64,4.19,6.11
105,action,6.0,6.19,6.17
106,activate,5.7,3.78,6.28
107,activation,6.14,3.52,6.88
108,active,6.47,5.62,6.32
109,activist,6.24,5.26,5.86
110,activity,6.21,4.86,6.45
111,actor,6.15,4.35,5.64
112,actress,5.42,5.43,4.65
113,actual,6.22,2.75,5.54
114,actuality,5.4,5.55,5.24
115,acupuncture,4.81,4.9,4.77
116,acute,5.1,5.09,5.11
117,ad,4.11,3.33,5.18
118,adage,5.55,3.38,5.13
119,adamant,5.45,5.74,6.38
120,adapt,5.84,3.9,5.75
121,adaptation,5.82,3.55,6.04
122,add,6.23,4.0,6.79
123,adder,4.45,3.24,4.41
124,addict,2.86,5.33,2.74
125,addicted,2.89,4.77,2.84
126,addiction,3.52,4.48,3.84
127,addictive,3.52,4.82,4.4
128,additional,6.15,3.61,4.95
129,address,6.11,3.05,4.89
130,adept,6.14,4.17,6.5
131,adequate,4.7,3.64,6.89
132,adhere,5.17,3.52,3.9
133,adhesive,5.84,3.2,4.88
134,Adidas,5.77,4.18,6.3
135,adjacent,5.15,2.78,4.27
136,adjective,5.95,3.64,6.11
137,adjoining,5.06,3.52,4.65
138,adjourn,5.5,3.15,5.75
139,adjust,5.76,3.0,6.0
140,adjuster,4.25,3.5,5.84
141,adjustment,5.53,4.59,4.53
142,admin,4.37,3.64,5.83
143,administer,4.4,3.86,6.33
144,administration,4.45,3.23,4.77
145,administrative,4.79,3.21,5.9
146,administrator,5.32,4.74,5.48
147,admirable,7.0,4.57,5.81
148,admiral,4.8,4.05,5.68
149,admiralty,6.16,4.27,6.08
150,admiration,7.58,5.52,6.11
151,admire,7.35,5.0,7.33
152,admired,7.25,5.95,6.94
153,admirer,7.05,6.0,6.27
154,admissible,5.16,2.9,6.21
155,admission,5.91,3.69,5.54
156,admit,5.56,3.35,4.56
157,admittance,6.29,3.6,5.96
158,ado,4.82,3.33,4.48
159,adobe,5.25,3.89,5.55
160,adolescence,6.0,5.1,4.44
161,adolescent,5.38,4.2,4.0
162,adopt,6.9,4.71,5.45
163,adoption,6.68,4.82,5.62
164,adoptive,5.67,4.4,5.59
165,adorable,7.4,4.66,6.83
166,adoration,6.47,4.36,6.54
167,adore,7.37,5.96,6.26
168,adoring,7.38,4.86,6.29
169,adrenalin,6.33,5.05,4.85
170,adrenaline,6.61,5.95,5.72
171,adrift,4.36,3.19,4.09
172,adult,5.9,4.36,6.46
173,adulterer,2.77,5.68,3.2
174,adultery,2.81,6.42,3.33
175,adulthood,5.05,4.28,6.11
176,advance,6.11,4.62,6.12
177,advanced,6.14,3.83,6.96
178,advancement,7.47,5.81,6.38
179,advantage,6.71,3.95,7.19
180,advantageous,6.79,5.7,6.22
181,adventure,7.4,6.36,6.36
182,adventurer,7.0,5.27,5.83
183,adventurous,7.37,6.67,5.71
184,adversary,4.55,4.41,5.0
185,adverse,3.68,3.89,3.35
186,adversity,4.26,3.82,4.63
187,advertise,5.16,4.29,5.74
188,advertisement,4.3,4.14,5.84
189,advertising,4.68,3.25,5.0
190,advice,5.78,3.05,5.83
191,advisable,5.62,4.36,5.86
192,advise,5.44,3.38,6.41
193,advisement,4.55,4.04,5.92
194,adviser,5.68,3.36,6.18
195,advisor,4.74,3.19,5.7
196,advisory,4.95,4.05,4.19
197,advocate,5.25,4.59,7.26
198,aerial,6.04,3.67,5.17
199,aerobics,6.0,5.1,5.7
200,aerodynamic,6.16,4.33,5.1
201,aerospace,5.79,4.52,5.17
202,aesthetic,5.43,2.88,5.5
203,affair,3.1,5.4,5.89
204,affect,5.65,3.61,6.39
205,affection,7.89,5.64,6.6
206,affectionate,7.23,4.77,6.9
207,affidavit,4.38,3.73,4.04
208,affiliation,5.32,3.9,5.3
209,affinity,5.86,4.29,6.55
210,affirmation,5.95,3.95,6.53
211,affirmative,5.94,3.64,6.78
212,affliction,3.76,5.1,4.17
213,afford,6.56,4.33,6.44
214,affordable,7.52,4.11,6.16
215,affront,4.53,4.5,5.04
216,afire,6.05,5.41,4.38
217,afloat,5.57,4.13,4.96
218,aforementioned,5.21,3.5,4.96
219,afraid,2.25,5.12,2.71
220,african,6.42,4.11,5.8
221,afterlife,5.53,4.32,5.86
222,aftermath,4.29,5.38,4.23
223,afternoon,6.68,3.48,5.71
224,aftershave,5.55,3.5,5.81
225,age,5.78,3.71,4.67
226,agency,5.14,3.17,4.89
227,agenda,5.05,3.62,5.36
228,agent,5.23,3.43,5.65
229,aggravate,2.55,5.9,4.85
230,aggravation,2.48,5.35,4.45
231,aggression,3.18,5.69,4.65
232,aggressive,3.08,5.87,5.49
233,aggressiveness,3.58,6.43,5.21
234,aggressor,2.8,6.55,4.57
235,agile,5.95,4.95,6.09
236,agility,6.55,4.21,6.41
237,aging,3.0,3.8,3.06
238,agitate,3.36,5.82,4.55
239,agitation,2.84,4.75,3.29
240,aglow,5.84,4.83,5.59
241,agonizing,2.68,6.71,4.04
242,agony,2.46,5.78,4.0
243,agree,7.17,3.62,6.94
244,agreeable,6.9,3.55,6.97
245,agreement,6.75,4.05,6.48
246,agricultural,5.5,3.55,5.74
247,agriculture,6.1,3.05,6.0
248,ahoy,5.58,3.95,5.45
249,aid,6.29,4.55,5.95
250,aide,5.6,4.0,7.05
251,aids,3.52,3.75,4.88
252,AIDS,1.33,5.0,3.55
253,ailing,2.95,4.52,4.15
254,ailment,3.0,3.68,3.14
255,aim,5.95,4.0,6.5
256,air,6.71,3.25,5.72
257,airbag,5.4,3.64,4.81
258,airborne,5.25,3.52,4.48
259,aircraft,6.3,4.86,5.71
260,airfield,5.74,4.38,4.82
261,airhead,4.1,4.3,4.19
262,airline,5.36,4.12,4.92
263,airliner,6.05,4.0,4.25
264,airlock,4.85,4.23,5.0
265,airplane,5.25,5.62,4.12
266,airport,6.0,5.5,5.79
267,airship,5.63,4.88,4.43
268,airspace,5.5,4.4,4.91
269,airspeed,4.95,4.33,5.24
270,airstrip,4.76,3.83,5.1
271,airtight,5.1,3.3,4.76
272,airway,4.95,4.0,3.95
273,aisle,5.17,2.5,4.87
274,ajar,5.0,3.26,5.28
275,aka,4.63,3.39,4.4
276,alabaster,5.5,3.95,5.35
277,alarm,3.86,6.85,6.58
278,alarming,3.52,6.5,4.05
279,albatross,5.68,3.09,4.91
280,albino,4.9,3.09,4.05
281,album,6.19,5.63,5.86
282,alcohol,4.11,5.17,4.0
283,alcoholic,2.49,5.48,3.27
284,alcoholism,2.0,5.0,3.0
285,alcove,5.5,3.32,5.33
286,alderman,4.44,3.05,5.04
287,ale,5.95,4.1,5.17
288,alert,5.38,5.14,6.58
289,alfalfa,4.79,3.67,5.73
290,algebra,5.4,4.6,4.54
291,algorithm,5.3,3.7,4.04
292,alias,5.0,4.71,5.94
293,alibi,4.16,4.5,5.17
294,alien,4.45,4.86,3.56
295,alienate,2.79,4.27,3.71
296,alienation,2.53,5.14,3.33
297,alight,5.67,3.86,5.88
298,align,5.95,3.32,5.95
299,alignment,6.0,3.92,6.32
300,alimony,3.86,3.09,4.32
301,alive,6.57,5.93,6.77
302,allegation,3.26,5.9,3.96
303,alleged,3.62,5.09,4.27
304,allegiance,5.8,5.17,7.05
305,allegro,5.0,3.89,5.36
306,allergic,3.0,5.4,3.81
307,allergy,2.9,3.9,3.5
308,alleviate,6.25,3.45,5.84
309,alley,4.17,4.08,4.63
310,alleyway,3.46,3.7,5.2
311,alliance,6.14,4.4,5.78
312,allied,5.95,3.38,5.4
313,alligator,4.23,5.36,4.1
314,allow,6.39,2.95,6.11
315,allowance,6.74,4.05,5.7
316,alloy,5.2,3.32,5.9
317,allure,6.9,4.25,5.77
318,alluring,6.74,4.35,5.86
319,ally,6.05,4.8,6.84
320,almanac,5.55,3.24,5.88
321,almighty,6.15,4.59,5.81
322,almond,6.05,2.89,6.46
323,aloha,7.1,3.82,6.33
324,alone,3.85,4.0,4.5
325,aloof,4.59,3.09,4.63
326,alpha,5.5,3.67,6.32
327,alphabet,5.95,3.15,5.79
328,alphabetical,6.32,3.0,6.14
329,alpine,5.84,3.52,5.74
330,altar,5.59,4.05,5.68
331,alter,4.57,4.17,5.57
332,alteration,5.05,4.05,6.15
333,altercation,3.61,5.62,4.4
334,alternate,5.15,3.48,5.2
335,alternating,5.37,4.27,5.53
336,alternative,5.33,3.61,6.33
337,altimeter,4.5,3.61,5.0
338,altitude,5.27,4.15,5.46
339,aluminum,5.1,4.05,6.0
340,alumnus,4.95,3.23,6.1
341,alzheimers,2.26,4.5,2.0
342,amaretto,6.0,4.04,5.19
343,amateur,4.58,3.55,5.25
344,amaze,7.24,5.0,5.83
345,amazed,7.55,5.95,6.11
346,amazement,7.29,6.3,6.43
347,amazing,7.72,6.05,6.83
348,ambassador,5.5,3.91,6.2
349,amber,6.15,3.36,6.21
350,ambience,6.35,3.85,5.57
351,ambient,6.33,3.2,4.86
352,ambiguous,5.16,4.0,5.12
353,ambition,7.28,4.86,6.36
354,ambitious,6.33,5.76,5.88
355,ambrosia,5.95,4.05,5.67
356,ambulance,3.71,5.33,3.29
357,ambush,3.17,5.58,3.96
358,amend,5.85,3.06,4.96
359,amendment,5.6,3.5,4.77
360,amends,6.68,3.95,5.96
361,amiable,6.7,2.85,6.14
362,amino,4.45,3.83,5.73
363,ammo,4.18,5.53,5.52
364,ammonia,3.74,3.0,3.83
365,ammonium,4.06,4.37,4.84
366,ammunition,4.59,5.7,5.95
367,amnesia,3.43,5.04,3.08
368,amnesty,5.38,3.86,6.0
369,amorous,5.95,4.21,6.0
370,amount,5.42,3.53,5.39
371,amour,6.43,5.43,5.91
372,amp,5.79,5.05,5.13
373,amphibian,5.4,3.35,5.42
374,amphibious,5.75,5.7,4.85
375,ample,5.89,3.28,6.04
376,amputate,2.1,5.43,3.0
377,amputation,1.84,4.86,2.85
378,amuck,4.0,4.41,3.74
379,amulet,5.75,3.95,5.79
380,amuse,7.1,5.17,6.8
381,amused,7.05,4.27,5.93
382,amusement,7.0,4.82,6.59
